date,cases,deaths,stringencyIndex,icu,week,cases_7d_avg,deaths_7d_avg,icu_7d_avg
2020-08-09,202.0,1.0,,22.0,2020-08-03,137.28571428571428,0.5714285714285714,15.142857142857142
2020-08-10,126.0,1.0,,24.0,2020-08-10,144.57142857142858,0.5714285714285714,16.714285714285715
2020-08-11,193.0,1.0,,26.0,2020-08-10,155.28571428571428,0.7142857142857143,18.571428571428573
2020-08-12,235.0,2.0,,24.0,2020-08-10,172.0,0.8571428571428571,20.142857142857142
2020-08-13,204.0,5.0,,22.0,2020-08-10,179.71428571428572,1.5714285714285714,21.285714285714285
2020-08-14,251.0,2.0,,22.0,2020-08-10,194.57142857142858,1.8571428571428572,22.428571428571427
2020-08-15,226.0,3.0,,23.0,2020-08-10,205.28571428571428,2.142857142857143,23.285714285714285
2020-08-16,217.0,2.0,,24.0,2020-08-10,207.42857142857142,2.2857142857142856,23.571428571428573
2020-08-17,147.0,2.0,,23.0,2020-08-17,210.42857142857142,2.4285714285714284,23.428571428571427
2020-08-18,250.0,2.0,,25.0,2020-08-17,218.57142857142858,2.5714285714285716,23.285714285714285
2020-08-19,212.0,3.0,,28.0,2020-08-17,215.28571428571428,2.7142857142857144,23.857142857142858
2020-08-20,250.0,0.0,,30.0,2020-08-17,221.85714285714286,2.0,25.0
2020-08-21,204.0,3.0,,28.0,2020-08-17,215.14285714285714,2.142857142857143,25.857142857142858
2020-08-22,243.0,2.0,,31.0,2020-08-17,217.57142857142858,2.0,27.0
2020-08-23,283.0,2.0,,31.0,2020-08-17,227.0,2.0,28.0
2020-08-24,155.0,0.0,,31.0,2020-08-24,228.14285714285714,1.7142857142857142,29.142857142857142
2020-08-25,168.0,1.0,,31.0,2020-08-24,216.42857142857142,1.5714285714285714,30.0
2020-08-26,0.0,0.0,,33.0,2020-08-24,186.14285714285714,1.1428571428571428,30.714285714285715
2020-08-27,544.0,11.0,,35.0,2020-08-24,228.14285714285714,2.7142857142857144,31.428571428571427
2020-08-28,269.0,5.0,,35.0,2020-08-24,237.42857142857142,3.0,32.42857142857143
2020-08-29,177.0,1.0,,36.0,2020-08-24,228.0,2.857142857142857,33.142857142857146
2020-08-30,157.0,2.0,,35.0,2020-08-24,210.0,2.857142857142857,33.714285714285715
2020-08-31,183.0,4.0,,36.0,2020-08-31,214.0,3.4285714285714284,34.42857142857143
2020-09-01,207.0,5.0,,38.0,2020-08-31,219.57142857142858,4.0,35.42857142857143
2020-09-02,233.0,2.0,,38.0,2020-08-31,252.85714285714286,4.285714285714286,36.142857142857146
2020-09-03,241.0,5.0,,39.0,2020-08-31,209.57142857142858,3.4285714285714284,36.714285714285715
2020-09-04,202.0,1.0,,38.0,2020-08-31,200.0,2.857142857142857,37.142857142857146
2020-09-05,186.0,1.0,,40.0,2020-08-31,201.28571428571428,2.857142857142857,37.714285714285715
2020-09-06,138.0,4.0,,41.0,2020-08-31,198.57142857142858,3.142857142857143,38.57142857142857
2020-09-07,139.0,5.0,,42.0,2020-09-07,192.28571428571428,3.2857142857142856,39.42857142857143
2020-09-08,169.0,1.0,,42.0,2020-09-07,186.85714285714286,2.7142857142857144,40.0
2020-09-09,248.0,3.0,,46.0,2020-09-07,189.0,2.857142857142857,41.142857142857146
2020-09-10,372.0,4.0,,49.0,2020-09-07,207.71428571428572,2.7142857142857144,42.57142857142857
2020-09-11,282.0,3.0,,52.0,2020-09-07,219.14285714285714,3.0,44.57142857142857
2020-09-12,302.0,2.0,,53.0,2020-09-07,235.71428571428572,3.142857142857143,46.42857142857143
2020-09-13,204.0,3.0,,54.0,2020-09-07,245.14285714285714,3.0,48.285714285714285
2020-09-14,180.0,5.0,,59.0,2020-09-14,251.0,3.0,50.714285714285715
2020-09-15,310.0,3.0,,67.0,2020-09-14,271.14285714285717,3.2857142857142856,54.285714285714285
2020-09-16,311.0,3.0,,67.0,2020-09-14,280.14285714285717,3.2857142857142856,57.285714285714285
2020-09-17,359.0,9.0,,69.0,2020-09-14,278.2857142857143,4.0,60.142857142857146
2020-09-18,338.0,2.0,,71.0,2020-09-14,286.2857142857143,3.857142857142857,62.857142857142854
2020-09-19,240.0,4.0,,65.0,2020-09-14,277.42857142857144,4.142857142857143,64.57142857142857
2020-09-20,164.0,7.0,,78.0,2020-09-14,271.7142857142857,4.714285714285714,68.0
2020-09-21,453.0,6.0,,79.0,2020-09-21,310.7142857142857,4.857142857142857,70.85714285714286
2020-09-22,333.0,8.0,,77.0,2020-09-21,314.0,5.571428571428571,72.28571428571429
2020-09-23,358.0,5.0,,73.0,2020-09-21,320.7142857142857,5.857142857142857,73.14285714285714
2020-09-24,341.0,9.0,,68.0,2020-09-21,318.14285714285717,5.857142857142857,73.0
2020-09-25,286.0,3.0,,63.0,2020-09-21,310.7142857142857,6.0,71.85714285714286
2020-09-26,315.0,7.0,,68.0,2020-09-21,321.42857142857144,6.428571428571429,72.28571428571429
2020-09-27,216.0,3.0,,68.0,2020-09-21,328.85714285714283,5.857142857142857,70.85714285714286
2020-09-28,263.0,4.0,,73.0,2020-09-28,301.7142857142857,5.571428571428571,70.0
2020-09-29,416.0,5.0,,79.0,2020-09-28,313.57142857142856,5.142857142857143,70.28571428571429
2020-09-30,352.0,3.0,,78.0,2020-09-28,312.7142857142857,4.857142857142857,71.0
2020-10-01,411.0,2.0,,89.0,2020-09-28,322.7142857142857,3.857142857142857,74.0
2020-10-02,460.0,5.0,,85.0,2020-09-28,347.57142857142856,4.142857142857143,77.14285714285714
2020-10-03,267.0,7.0,,79.0,2020-09-28,340.7142857142857,4.142857142857143,78.71428571428571
2020-10-04,229.0,4.0,,82.0,2020-09-28,342.57142857142856,4.285714285714286,80.71428571428571
2020-10-05,300.0,8.0,,83.0,2020-10-05,347.85714285714283,4.857142857142857,82.14285714285714
