"party","value","num_ads","total_spend_pct","type","location_type","is_exclusion","detailed_type","total_num_ads","total_spend_formatted","custom_audience_type"
"Κασσελάκης","SUVs",2,0.080762160709487,"detailed",NA,FALSE,"INTERESTS",34,"€9,303",NA
"Κασσελάκης","Life, Physical and Social Sciences",1,0.016124697661919,"detailed",NA,FALSE,"DEMOGRAPHICS",34,"€9,303",NA
"Κασσελάκης","Community issues",1,0.016124697661919,"detailed",NA,FALSE,"INTERESTS",34,"€9,303",NA
"Κασσελάκης","Politics",1,0.016124697661919,"detailed",NA,FALSE,"INTERESTS",34,"€9,303",NA
"Κασσελάκης","Law",1,0.016124697661919,"detailed",NA,FALSE,"INTERESTS",34,"€9,303",NA
"Κασσελάκης","College grad",1,0.016124697661919,"detailed",NA,FALSE,"DEMOGRAPHICS",34,"€9,303",NA
"Κασσελάκης","Writing",1,0.016124697661919,"detailed",NA,FALSE,"INTERESTS",34,"€9,303",NA
"Κασσελάκης","Campsite",2,0.080762160709487,"detailed",NA,FALSE,"INTERESTS",34,"€9,303",NA
"Κασσελάκης","Camping",2,0.080762160709487,"detailed",NA,FALSE,"INTERESTS",34,"€9,303",NA
"Κασσελάκης","Indian (motorcycle)",2,0.080762160709487,"detailed",NA,FALSE,"INTERESTS",34,"€9,303",NA
"Κασσελάκης","Doctorate degree",1,0.016124697661919,"detailed",NA,FALSE,"DEMOGRAPHICS",34,"€9,303",NA
"Κασσελάκης","Travel trailer",2,0.080762160709487,"detailed",NA,FALSE,"INTERESTS",34,"€9,303",NA
"Κασσελάκης","Community and Social Services",1,0.016124697661919,"detailed",NA,FALSE,"DEMOGRAPHICS",34,"€9,303",NA
"Κασσελάκης","Volunteering",1,0.016124697661919,"detailed",NA,FALSE,"INTERESTS",34,"€9,303",NA
"Κασσελάκης","Outdoor recreation",2,0.080762160709487,"detailed",NA,FALSE,"INTERESTS",34,"€9,303",NA
"Κασσελάκης","Dance",1,0.016124697661919,"detailed",NA,FALSE,"INTERESTS",34,"€9,303",NA
"Κασσελάκης","Mountaineering",2,0.080762160709487,"detailed",NA,FALSE,"INTERESTS",34,"€9,303",NA
"Κασσελάκης","Road running",2,0.080762160709487,"detailed",NA,FALSE,"INTERESTS",34,"€9,303",NA
"Κασσελάκης","Charity and causes",1,0.016124697661919,"detailed",NA,FALSE,"INTERESTS",34,"€9,303",NA
"Κασσελάκης","Open Relationship",1,0.016124697661919,"detailed",NA,FALSE,"DEMOGRAPHICS",34,"€9,303",NA
"Κασσελάκης","Fine art",1,0.016124697661919,"detailed",NA,FALSE,"INTERESTS",34,"€9,303",NA
"Κασσελάκης","Painting",1,0.016124697661919,"detailed",NA,FALSE,"INTERESTS",34,"€9,303",NA
"Κασσελάκης","Acting",1,0.016124697661919,"detailed",NA,FALSE,"INTERESTS",34,"€9,303",NA
"Παππάς","All",109,1,"gender",NA,NA,NA,109,"€6,045",NA
"Παππάς","Women",0,0,"gender",NA,NA,NA,109,"€6,045",NA
"Παππάς","Men",0,0,"gender",NA,NA,NA,109,"€6,045",NA
"Παππάς","Andravídha, Greece",1,0.0066175752873268,"location","CITY",FALSE,NA,109,"€6,045",NA
"Παππάς","Tripoli, Greece",1,0.0066175752873268,"location","CITY",FALSE,NA,109,"€6,045",NA
"Παππάς","Krokeaí, Lakonia, Greece",1,0.0066175752873268,"location","CITY",FALSE,NA,109,"€6,045",NA
"Παππάς","Néa Kíos, Greece",1,0.00011580756752822,"location","CITY",FALSE,NA,109,"€6,045",NA
"Παππάς","Greece",101,0.97144185384754,"location","countries",FALSE,NA,109,"€6,045",NA
"Παππάς","Káto Mazarákion, Akhaia, Greece",1,0.0029795632731189,"location","CITY",FALSE,NA,109,"€6,045",NA
"Παππάς","Corinth, Greece",1,0.0066175752873268,"location","CITY",FALSE,NA,109,"€6,045",NA
"Παππάς","Alíartos, Voiotia, Greece",1,0.0033087876436634,"location","CITY",FALSE,NA,109,"€6,045",NA
"Παππάς","Terpsithéa, Larisa, Greece",1,0.00020679922772896,"location","CITY",FALSE,NA,109,"€6,045",NA
"Παππάς","Alexándria, Imathia, Greece",1,0.0054694259749756,"location","CITY",FALSE,NA,109,"€6,045",NA
"Παππάς","Feneós, Akhaia, Greece",1,0.0066175752873268,"location","CITY",FALSE,NA,109,"€6,045",NA
"Παππάς","Athens, Greece",1,0.0032426118907902,"location","CITY",FALSE,NA,109,"€6,045",NA
"Παππάς","Kranídion, Greece",1,0.00011580756752822,"location","CITY",FALSE,NA,109,"€6,045",NA
"Παππάς","Náfplion, Argolis, Greece",1,0.00011580756752822,"location","CITY",FALSE,NA,109,"€6,045",NA
"Παππάς","Argos, Argolis, Greece",1,0.00011580756752822,"location","CITY",FALSE,NA,109,"€6,045",NA
"Παππάς","Ermióni, Greece",1,0.00011580756752822,"location","CITY",FALSE,NA,109,"€6,045",NA
"Παππάς","13",1,0.00011580756752822,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","14",1,0.00011580756752822,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","15",1,0.00011580756752822,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","16",1,0.00011580756752822,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","17",2,0.0034245952111916,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","18",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","19",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","20",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","21",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","22",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","23",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","24",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","25",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","26",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","27",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","28",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","29",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","30",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","31",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","32",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","33",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","34",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","35",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","36",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","37",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","38",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","39",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","40",109,1,"age",NA,NA,NA,109,"€6,045",NA
"Παππάς","41",109,1,"age",NA,NA,NA,109,"€6,045",NA
