"","party","value","num_ads","total_spend_pct","type","location_type","is_exclusion","custom_audience_type","detailed_type","total_num_ads","total_spend_formatted"
"168","Ανδρουλάκης","Attica (region), Greece",5,0.23407174629871,"location","regions",FALSE,NA,NA,30,"€3,615"
"169","Ανδρουλάκης","Dráma, Greece",1,0.0040387722132472,"location","CITY",FALSE,NA,NA,30,"€3,615"
"170","Ανδρουλάκης","Chrysoúpoli, Kavala, Greece",1,0.0040387722132472,"location","CITY",FALSE,NA,NA,30,"€3,615"
"171","Ανδρουλάκης","Eleftheroúpoli, Kavala, Greece",1,0.0040387722132472,"location","CITY",FALSE,NA,NA,30,"€3,615"
"172","Ανδρουλάκης","Veria, Imathia, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"173","Ανδρουλάκης","Panórama, Thessaloniki, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"174","Ανδρουλάκης","Serres, Greece",1,0.022116427291035,"location","REGION",FALSE,NA,NA,30,"€3,615"
"175","Ανδρουλάκης","Alexándria, Imathia, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"176","Ανδρουλάκης","Véroia, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"177","Ανδρουλάκης","Rodholívos, Kavala, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"178","Ανδρουλάκης","Náousa, Imathia, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"179","Ανδρουλάκης","Lagkadás, Thessaloniki, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"180","Ανδρουλάκης","Crete, Greece",3,0.055212229180959,"location","regions",FALSE,NA,NA,30,"€3,615"
"181","Ανδρουλάκης","Stavroúpoli, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"182","Ανδρουλάκης","Triandría, Thessaloniki, Greece",1,0.022116427291035,"location","NEIGHBORHOOD",FALSE,NA,NA,30,"€3,615"
"183","Ανδρουλάκης","Alexándreia, Imathia, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"184","Ανδρουλάκης","Koufalia, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"185","Ανδρουλάκης","Aigínio, Pieria, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"186","Ανδρουλάκης","Athens, Greece",2,0.15283709916569,"location","CITY",FALSE,NA,NA,30,"€3,615"
"187","Ανδρουλάκης","Thessaloníki, Greece",2,0.05405868944608,"location","CITY",FALSE,NA,NA,30,"€3,615"
"188","Ανδρουλάκης","Litóchoro, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"189","Ανδρουλάκης","Náousa, Kikladhes, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
"190","Ανδρουλάκης","Kateríni, Greece",1,0.022116427291035,"location","CITY",FALSE,NA,NA,30,"€3,615"
