track_name,artist_names,total_streams_2024,weeks_in_top200_2024
All I Want for Christmas Is You,Mariah Carey,915676,6
APT.,"ROSÉ, Bruno Mars",908001,7
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",904841,8
Protimo,Anna Vissi,899019,11
Signal,"Strat, DIFF, Arab, BeTaf Beats",896282,3
LUNA,"SIDARTA, MENJU",895979,7
AXARISTI,"Ivan Greko, Strat, DJ PaCo",872713,10
Lovin On Me,Jack Harlow,870817,10
ALABAMA,"DIFF, Strat",865810,11
Kokkina Mple,"FLY LO, Mike G",865729,11
Gia Panta,"Wang, Mateos Nps",865726,11
Kolima,"Eleni Foureira, Display",861991,9
Houdini,Eminem,860028,6
Machete,"FLY LO, Mike G",855415,11
Rockin' Around The Christmas Tree,Brenda Lee,844197,7
la noia,Angelina Mango,843760,4
I KNOW ?,Travis Scott,843320,10
That’s So True,Gracie Abrams,842256,8
Nani,"Mad Clip, Light, Skive",837088,11
Made In Greece,"Sadam, Dof Twogee",833659,6
BABAR,Saske,826155,5
Ekriktika,"Tzamal, Dani Gambino, mi368, Sandal",821444,5
Type Shit,"Future, Metro Boomin, Travis Scott, Playboi Carti",812480,8
Rim Tim Tagi Dim,Baby Lasagna,809846,4
Ego,"SNIK, Guè, 2nd Roof",807854,3
C4,"RICTA, Savv",799541,4
Makigiaz,"Yolte, MG",799023,6
ONE DANCE,"Kidd, Light",794685,5
Embrace It,Ndotz,792047,9
KRIMI,Onad,790557,7
Latina,"Leaderbrain, RICTA",789009,9
LIFE,"Saske, Sigma, Beyond",787591,5
Cc,Light,787552,10
SIMPLOKES,"Dani Gambino, Dj The Boy",782745,10
Beautiful Things,Benson Boone,780374,7
Liberta,"Block 93, Yanek, Sp93, Tanto",777869,5
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Playboi Carti, Madonna",773268,6
Super Market,Bloody Hawk,772222,5
Teleia Sxesh,"Lava, Paris Kalpos",762896,5
Ma Meilleure Ennemie (from the series Arcane League of Legends),"Arcane, Stromae, Pomme",752602,5
Suvs,"SNIK, DIFF, BeTaf Beats",739050,3
Trust Issues,"Thug Slime, Light",737305,5
VACHERON,"Ivan Greko, Strat, Dj Omonoia",730931,4
Europapa,Joost,728703,4
An Apopse Figo - Night Rider Edit,"Marseaux, dPans",728454,7
BLACK PHONE MAFIA,"Ivan Greko, Strat, Arab, BeTaf Beats, Sanko, DIFF",725215,1
MILLION DOLLAR BABY,Tommy Richman,713636,4
HIGHEST IN THE ROOM,Travis Scott,709424,9
Casablanca (feat. Morad),"Baby Gang, Bobo, Morad",705774,8
Lalala,"Trannos, YT K",705386,4
Mosca,Light,705329,8
O Antras Ton Oniron Mou,Katerina Lioliou,704615,8
Ah THALASSA,Marina Satti,704175,5
Pasok,Light,702296,3
S' Agapao Kai Den Pao Kala,Despina Vandi,701895,9
SPAM,Arab,697448,9
Gata Only,"FloyyMenor, Cris Mj",695813,6
Katse Kala,"RICTA, Kidd",691186,8
POIOTHTA,"Trannos, Billy Sio",688425,5
DEKA,Kidd,683736,5
MONA LISA,"Sigma, Mente Fuerte, Beyond",682976,5
Last Christmas,Wham!,682416,4
RADEVOU,"Sin Laurent, Oge, SIDARTA",678144,4
Ores Mikres,Giorgos Mazonakis,677772,8
Popular (with Playboi Carti & Madonna),"The Weeknd, Playboi Carti, Madonna",674434,7
Once In A Lifetime,Light,670857,3
EYE OF THE TIGER,"Ivan Greko, Sanko",665341,4
DEJAVU INTERLUDE,"Saske, Hawk",664651,5
Dame Fuego,Marseaux,659075,8
1000 Kosmoi,"Dani Gambino, Wang, Dj The Boy",652529,9
Ligo Ligo,Anastasia,646427,8
Skg Mecca,"Sadam, Tsaki, Ortiz, Dof Twogee",639825,4
Trohospito Freestyle,Bloody Hawk,639444,4
Oxi Den Perimeno,"Trannos, Yolte, Roi 6/12",639015,4
Water,Tyla,638680,8
Bipolar,"SNIK, Solmeister",627752,3
tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",625796,5
i like the way you kiss me,Artemas,619053,7
Famax,RAFFA GUIDO,618894,5
Stress,"Mel, Light",617972,7
