artist_name,total_streams_2024,weeks_in_top200_2024
Gerasimos Evangelatos,83911,1
Cigarettes After Sex,83646,1
Nikos Apergis,83443,1
DAMIAN,83388,1
Dimitris Zervoudakis,83049,1
Nebulossa,82840,1
Smuggler,82710,1
DVMN BOI,81028,1
Bing Crosby,80845,1
John Scott Trotter & His Orchestra,80845,1
Ken Darby Singers,80845,1
Mitchell Ayres & His Orchestra,80259,1
Perry Como,80259,1
The Fontane Sisters,80259,1
Ross,79782,1
Hantze,79782,1
Frank Sinatra,79676,1
B. Swanson Quartet,79676,1
One Direction,79187,1
Ank Beats,79082,1
Srcalex,79082,1
Panos Kanatas,78930,1
Danai Mamakou,78930,1
Skillibeng,78540,1
Peysoh,77728,1
YoungThreat,77728,1
Hitta J3,77728,1
Luv Records,76474,1
RAF,76076,1
Slogan,76076,1
Stolou,75977,1
Twelvee,75977,1
Niko Malteze,75897,1
Young Thug,75031,1
Masla.G,74445,1
Stathis Xenos,74203,1
Miley Cyrus,72998,1
KSF,72247,1
chuala,71002,1
&ME,71002,1
Rampa,71002,1
Paris Evaggelou,65498,1
GAMEBOY,64819,1
,0,0
