uri,track_name,artist_names,total_streams_2023,weeks_in_top200_2023
spotify:track:10e5QpjQtt9156Ie76zGg1,Pame Stihima Tha Xanarthis,Pantelis Pantelidis,582460,11
spotify:track:3EYO8kGf0ndPtgBkVA0ISm,Anagki Na Se Do,Bloody Hawk,623189,12
spotify:track:46shjIA10wa3qJMaaJXCBM,Overdose,Trannos,3933581,17
spotify:track:6104vmH44puCfW9cDqh0ET,MONOS,"Kidd, Light, Skive, Destiny",6742736,22
spotify:track:3EYVgA1fsZ3ZrcE5vpIzYf,9MM,"RACK, Oge",13161459,28
spotify:track:4R2e2aZ1oHB2kZkJTKJtCY,WKEANOUS,"RACK, BeTaf Beats, Beyond",7822378,23
spotify:track:3q6ayHzfLJIx22oQXoYlyi,DEJA VU,"LILA, RACK, Beyond",19437604,34
spotify:track:4ybJLyfjA4JIJE05VdDVyy,Mavromalla,Kidd,7688575,24
spotify:track:0sfQyMJmFq4H9DX2duCrBB,Sexaki,"Sin Boy, DJ Stephan",6377843,22
spotify:track:7pQJFF9uu0GpVbHoDtW3sl,AGAPI - Remix,"Sigma, Light",17805614,34
spotify:track:6NddoCdcG3lrzL4q30Wo5F,AXARISTI,"Ivan Greko, Strat, DJ PaCo",5793035,24
spotify:track:2iKjK6sz9UxWDKtRWEJTfd,Sagapw,Bossikan,9456851,29
spotify:track:2lMvfEtDWH2luscLSztkMD,La Vida Loca,"Kimi, Light, Skive",10379643,31
spotify:track:3cGYbsm5YpNMSSyUjTvlzw,Blue Iguana,Hawk,13873353,31
spotify:track:4zGbkBCVObxKqYXOmV46oB,BELLA,SIDARTA,9224543,29
spotify:track:4kvSOLAx3cG7GQstq6x3hI,Katse Kala,"RICTA, Kidd",6166031,21
spotify:track:3bgNoBwhxYYQXWnGJc40V1,Esy,Light,7113318,26
spotify:track:23RoR84KodL5HWvUTneQ1w,(It Goes Like) Nanana - Edit,Peggy Gou,4824240,23
spotify:track:2ILpP6nlR7QndbxtzLbZ7K,Simadi,Anastasia,7355846,28
spotify:track:2ZTxf5fvD1tXEEyjUcYxN1,ATOUTALER,"LILA, Beyond, Sin Laurent",9043581,24
spotify:track:4sxGfvOp87HOquZ1kvU8oP,Mesa Sou,"Thug Slime, Fy, Tania Breazou",6037590,24
spotify:track:5bTMHSl3hGjMfbMMig1E3L,Kolima,"Eleni Foureira, Display",4882086,25
spotify:track:43JJzQyaFjUpGkgLyUlTml,Pempth Vrady,"Fy, RICTA",4219549,22
spotify:track:5Cdw9RPhNTGcZSkJvt9WOc,GIORTES,"RACK, BeTaf Beats, Beyond, Oge",8959569,36
spotify:track:2FDTHlrBguDzQkp7PVj16Q,Sprinter,"Dave, Central Cee",5938251,30
spotify:track:7etssWv7DrxlUkrVQhWslJ,De Me Ksereis Kala,"Wang, DJ Cron, Mateos Nps",6716038,28
spotify:track:5QMcZ256rMttUyBSfbsGz7,Loco,"Oge, SNIK, VLOSPA",4946336,25
spotify:track:4hOWVc5kVMUeAMdIlFujaH,Mi Panamera - The Remix,"Lopico, Claydee, Trannos",2466939,15
spotify:track:1eg1H5tIOsHvrBtTKGbfBp,NAI,Ivan Greko,5551550,28
spotify:track:63PqGAY21mwicj9y7XUowN,SAMA,"Roi 6/12, Trannos",4556091,24
spotify:track:4DyqFlqBL6lu9Ouq7kgnOO,Drop,"Immune, RACK, Chico Beatz",4151627,26
spotify:track:0TsD4iSubzoyfG0RcfWIHR,MAYA,"Sigma, SIDARTA",5020544,27
