origin,nights,year,month
NAT,1279166.0,2005,06
FOR,4593278.0,2005,05
NAT,1011730.0,2005,05
FOR,1090366.0,2005,04
NAT,1049661.0,2005,04
FOR,535348.0,2005,03
NAT,849405.0,2005,03
FOR,297704.0,2005,02
NAT,610117.0,2005,02
FOR,237307.0,2005,01
NAT,640626.0,2005,01
FOR,324129.0,2004,12
NAT,657994.0,2004,12
FOR,389286.0,2004,11
NAT,711325.0,2004,11
FOR,3134706.0,2004,10
NAT,899841.0,2004,10
FOR,6438611.0,2004,09
NAT,1279094.0,2004,09
FOR,8313470.0,2004,08
NAT,2577230.0,2004,08
FOR,7439747.0,2004,07
NAT,2203050.0,2004,07
FOR,5979185.0,2004,06
NAT,1256544.0,2004,06
FOR,4392827.0,2004,05
NAT,1025747.0,2004,05
FOR,1451875.0,2004,04
NAT,970171.0,2004,04
FOR,431036.0,2004,03
NAT,906049.0,2004,03
FOR,278915.0,2004,02
NAT,664290.0,2004,02
FOR,222409.0,2004,01
NAT,606490.0,2004,01
FOR,429289.0,2003,12
NAT,700396.0,2003,12
FOR,391575.0,2003,11
NAT,759370.0,2003,11
FOR,3555926.0,2003,10
NAT,848385.0,2003,10
FOR,6393491.0,2003,09
NAT,1251177.0,2003,09
FOR,8381886.0,2003,08
NAT,2772068.0,2003,08
FOR,7953402.0,2003,07
NAT,2041974.0,2003,07
FOR,6305958.0,2003,06
NAT,1287531.0,2003,06
FOR,4456218.0,2003,05
NAT,968057.0,2003,05
FOR,1530599.0,2003,04
NAT,1154800.0,2003,04
FOR,436473.0,2003,03
NAT,911621.0,2003,03
FOR,312923.0,2003,02
NAT,672854.0,2003,02
FOR,259723.0,2003,01
NAT,726408.0,2003,01
FOR,401877.0,2002,12
NAT,695474.0,2002,12
FOR,424294.0,2002,11
NAT,760388.0,2002,11
FOR,3613579.0,2002,10
NAT,796815.0,2002,10
FOR,6767081.0,2002,09
NAT,1200977.0,2002,09
FOR,8135426.0,2002,08
NAT,2657213.0,2002,08
FOR,7979501.0,2002,07
NAT,1904085.0,2002,07
FOR,6476366.0,2002,06
NAT,1145704.0,2002,06
FOR,4733579.0,2002,05
NAT,1002148.0,2002,05
FOR,1364624.0,2002,04
NAT,1052206.0,2002,04
FOR,546347.0,2002,03
NAT,920593.0,2002,03
FOR,286589.0,2002,02
NAT,706639.0,2002,02
FOR,223506.0,2002,01
NAT,671298.0,2002,01
FOR,241328.0,2001,12
NAT,684307.0,2001,12
FOR,382592.0,2001,11
NAT,732147.0,2001,11
FOR,3595828.0,2001,10
NAT,861217.0,2001,10
FOR,7032105.0,2001,09
