year,quarter,duration,purpose,nights
1996,3,N_GE4,PERS_VFR,20672416.0
1996,2,N1-3,PERS,5401396.0
1996,2,N_GE1,PERS,24682797.0
1996,2,N_GE1,PROF,2207526.0
1996,2,N_GE1,TOTAL,26890323.0
1996,2,N_GE4,PERS,19281401.0
1996,2,N_GE4,PERS_VFR,9345511.0
1996,1,N1-3,PERS,3686705.0
1996,1,N_GE1,PERS,7409806.0
1996,1,N_GE1,PROF,985056.0
1996,1,N_GE1,TOTAL,8394862.0
1996,1,N_GE4,PERS,3723101.0
