year,week,region,region_name,deaths
2015,10,EL412,"Ικαρία, Σάμος",13.0
2015,10,EL413,Χίος,16.0
2015,10,EL421,"Κάλυμνος, Κάρπαθος – Ηρωική Νήσος Κάσος, Κως, Ρόδος",34.0
2015,10,EL422,"Άνδρος, Θήρα, Κέα, Μήλος, Μύκονος, Νάξος, Πάρος, Σύρος, Τήνος",27.0
2015,10,EL431,Ηράκλειο,76.0
2015,10,EL432,Λασίθι,14.0
2015,10,EL433,Ρέθυμνο,14.0
2015,10,EL434,Χανιά,36.0
2015,10,EL511,Έβρος,40.0
2015,10,EL512,Ξάνθη,21.0
2015,10,EL513,Ροδόπη,17.0
2015,10,EL514,Δράμα,27.0
2015,10,EL515,"Θάσος, Καβάλα",41.0
2015,10,EL521,Ημαθία,37.0
2015,10,EL522,Θεσσαλονίκη,219.0
2015,10,EL523,Κιλκίς,23.0
2015,10,EL524,Πέλλα,43.0
2015,10,EL525,Πιερία,29.0
2015,10,EL526,Σέρρες,54.0
2015,10,EL527,Χαλκιδική,24.0
2015,10,EL531,"Γρεβενά, Κοζάνη",58.0
2015,10,EL532,Καστοριά,13.0
2015,10,EL533,Φλώρινα,12.0
2015,10,EL541,"Άρτα, Πρέβεζα",54.0
2015,10,EL542,Θεσπρωτία,12.0
2015,10,EL543,Ιωάννινα,45.0
2015,10,EL611,"Καρδίτσα, Τρίκαλα",68.0
2015,10,EL612,Λάρισα,50.0
2015,10,EL613,"Μαγνησία, Σποράδες",39.0
2015,10,EL621,Ζάκυνθος,11.0
2015,10,EL622,Κέρκυρα,37.0
2015,10,EL623,"Ιθάκη, Κεφαλληνία",18.0
2015,10,EL624,Λευκάδα,9.0
2015,10,EL631,Αιτωλοακαρνανία,77.0
2015,10,EL632,Αχαΐα,63.0
2015,10,EL633,Ηλεία,49.0
2015,10,EL641,Βοιωτία,33.0
2015,10,EL642,Εύβοια,56.0
2015,10,EL643,Ευρυτανία,8.0
2015,10,EL644,Φθιώτιδα,52.0
2015,10,EL645,Φωκίδα,7.0
2015,10,EL651,"Αργολίδα, Αρκαδία",44.0
2015,10,EL652,Κορινθία,42.0
2015,10,EL653,"Λακωνία, Μεσσηνία",87.0
2015,11,EL301,Βόρειος Τομέας Αθηνών,134.0
2015,11,EL302,Δυτικός Τομέας Αθηνών,112.0
2015,11,EL303,Κεντρικός Τομέας Αθηνών,236.0
2015,11,EL304,Νότιος Τομέας Αθηνών,113.0
2015,11,EL305,Ανατολική Αττική,87.0
2015,11,EL306,Δυτική Αττική,38.0
2015,11,EL307,"Πειραιάς, Νήσοι",128.0
2015,11,EL411,"Λέσβος, Λήμνος",30.0
2015,11,EL412,"Ικαρία, Σάμος",13.0
2015,11,EL413,Χίος,15.0
2015,11,EL421,"Κάλυμνος, Κάρπαθος – Ηρωική Νήσος Κάσος, Κως, Ρόδος",37.0
2015,11,EL422,"Άνδρος, Θήρα, Κέα, Μήλος, Μύκονος, Νάξος, Πάρος, Σύρος, Τήνος",30.0
2015,11,EL431,Ηράκλειο,76.0
2015,11,EL432,Λασίθι,17.0
2015,11,EL433,Ρέθυμνο,18.0
2015,11,EL434,Χανιά,29.0
2015,11,EL511,Έβρος,38.0
2015,11,EL512,Ξάνθη,21.0
2015,11,EL513,Ροδόπη,22.0
2015,11,EL514,Δράμα,29.0
2015,11,EL515,"Θάσος, Καβάλα",35.0
2015,11,EL521,Ημαθία,41.0
2015,11,EL522,Θεσσαλονίκη,228.0
2015,11,EL523,Κιλκίς,15.0
2015,11,EL524,Πέλλα,19.0
2015,11,EL525,Πιερία,27.0
2015,11,EL526,Σέρρες,52.0
2015,11,EL527,Χαλκιδική,28.0
