date,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",Διάφορα βιομηχανικά είδη,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,Μηχανήματα και υλικό μεταφορών,"Ορυκτά, καύσιμα, λιπαντικά κλπ.",Ποτά και καπνός,"Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",Τρόφιμα και ζωντανά ζώα,Χημικά προϊόντα και συναφή,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη_6m_avg",Διάφορα βιομηχανικά είδη_6m_avg,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες_6m_avg",Λάδια και λίπη ζωικής ή φυτικής προέλευσης_6m_avg,Μηχανήματα και υλικό μεταφορών_6m_avg,"Ορυκτά, καύσιμα, λιπαντικά κλπ._6m_avg",Ποτά και καπνός_6m_avg,"Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα_6m_avg",Τρόφιμα και ζωντανά ζώα_6m_avg,Χημικά προϊόντα και συναφή_6m_avg
2013-07-01,52999318.0,160500.0,185148.0,591715.0,127145.0,30838845.0,363752.0,18278589.0,6316194.0,314227.0,71258735.33333333,119960.16666666667,157206.5,694129.3333333334,145371.66666666666,34196108.333333336,367774.8333333333,17196932.666666668,5663541.333333333,270109.0
2013-08-01,89006277.0,108978.0,43273.0,306687.0,119699.0,36016.0,371476.0,21177079.0,5715356.0,188329.0,70568874.16666667,129642.83333333333,140152.16666666666,619123.1666666666,143998.5,24766972.5,382800.3333333333,17695201.0,5673896.333333333,237688.5
2013-09-01,46552625.0,167288.0,136581.0,316578.0,113403.0,53908514.0,475328.0,45089713.0,7235595.0,471879.0,71550042.33333333,127359.33333333333,135077.83333333334,545923.1666666666,143081.16666666666,31237614.833333332,377880.8333333333,21695241.166666668,5894251.833333333,284716.5
2013-10-01,41080595.0,231648.0,156316.0,406925.0,138506.0,34688580.0,417456.0,27848899.0,7604343.0,263888.0,69833605.16666667,149166.5,139670.66666666666,508389.0,136173.66666666666,27993135.333333332,389699.6666666667,21826537.5,6203298.5,275278.5
2013-11-01,85064802.0,331287.0,121092.0,347204.0,128098.0,52940503.0,280027.0,18120691.0,6147746.0,357774.0,61481783.666666664,197974.16666666666,137184.0,430066.1666666667,132074.5,33247772.0,358425.3333333333,21797362.333333332,6288565.5,305056.8333333333
2013-12-01,40705772.0,213855.0,123508.0,351825.0,188496.0,10495780.0,1341202.0,259178.0,5079024.0,346347.0,59234898.166666664,202259.33333333334,127653.0,386822.3333333333,135891.16666666666,30484706.333333332,541540.1666666666,21795691.5,6349709.666666667,323740.6666666667
2014-01-01,88891413.0,112789.0,123499.0,475859.0,189245.0,25376075.0,466380.0,44615082.0,3966696.0,137176.0,65216914.0,194307.5,117378.16666666667,367513.0,146241.16666666666,29574244.666666668,558644.8333333334,26185107.0,5958126.666666667,294232.1666666667
2014-02-01,40700494.0,117855.0,93328.0,363688.0,152924.0,43023670.0,263004.0,21254513.0,5585348.0,327305.0,57165950.166666664,195787.0,125720.66666666667,377013.1666666667,151778.66666666666,36738853.666666664,540566.1666666666,26198012.666666668,5936458.666666667,317394.8333333333
2014-03-01,44193435.0,43911.0,192536.0,495592.0,198205.0,23715212.0,555262.0,39658081.0,4523697.0,270773.0,56772751.833333336,175224.16666666666,135046.5,406848.8333333333,165912.33333333334,31706636.666666668,553888.5,25292740.666666668,5484475.666666667,283877.1666666667
2014-04-01,54976307.0,89240.0,155719.0,569025.0,166275.0,1978.0,322333.0,19241199.0,4346646.0,399514.0,59088703.833333336,151489.5,134947.0,433865.5,170540.5,25925536.333333332,538034.6666666666,23858124.0,4941526.166666667,306481.5
