YearWeekISO,Date,DisplayDate,TargetGroup,TargetGroupPop,FirstDose,SecondDose,FirstDoseTotal,SecondDoseTotal,FirstDoseTotalPct,SecondDoseTotalPct
2021-W15,2021-04-12,12/04/21,HCW,274955.0,10365,3656,166514,138675,0.6056,0.5044
2021-W15,2021-04-12,12/04/21,LTCF,28913.0,309,2158,22154,20223,0.7662,0.6994
2021-W16,2021-04-19,19/04/21,ALL,8864187.0,282272,46630,2000862,815982,0.2257,0.0921
2021-W16,2021-04-19,19/04/21,Age18_24,782452.0,1405,467,9123,4802,0.0117,0.0061
2021-W16,2021-04-19,19/04/21,Age25_49,3497414.0,22626,8564,184627,122072,0.0528,0.0349
2021-W16,2021-04-19,19/04/21,Age50_59,1515472.0,38256,6234,142421,64838,0.094,0.0428
2021-W16,2021-04-19,19/04/21,Age60+,3068849.0,219203,31364,1659910,624194,0.5409,0.2034
2021-W16,2021-04-19,19/04/21,Age60_69,1291651.0,94959,5088,559129,31798,0.4329,0.0246
2021-W16,2021-04-19,19/04/21,Age70_79,1003958.0,100711,21360,619666,198636,0.6172,0.1979
2021-W16,2021-04-19,19/04/21,Age80+,773240.0,23533,4916,481115,393760,0.6222,0.5092
2021-W16,2021-04-19,19/04/21,Age<60,5795338.0,62287,15265,336171,191712,0.058,0.0331
2021-W16,2021-04-19,19/04/21,HCW,274955.0,7917,4741,174431,143416,0.6344,0.5216
2021-W16,2021-04-19,19/04/21,LTCF,28913.0,140,690,22294,20913,0.7711,0.7233
2021-W17,2021-04-26,26/04/21,ALL,8864187.0,165240,127043,2166102,943025,0.2444,0.1064
2021-W17,2021-04-26,26/04/21,Age18_24,782452.0,625,918,9748,5720,0.0125,0.0073
2021-W17,2021-04-26,26/04/21,Age25_49,3497414.0,71125,12208,255752,134280,0.0731,0.0384
2021-W17,2021-04-26,26/04/21,Age50_59,1515472.0,32034,12420,174455,77258,0.1151,0.051
2021-W17,2021-04-26,26/04/21,Age60+,3068849.0,61272,101496,1721182,725690,0.5609,0.2365
2021-W17,2021-04-26,26/04/21,Age60_69,1291651.0,33426,10295,592555,42093,0.4588,0.0326
2021-W17,2021-04-26,26/04/21,Age70_79,1003958.0,22137,76991,641803,275627,0.6393,0.2745
2021-W17,2021-04-26,26/04/21,Age80+,773240.0,5709,14210,486824,407970,0.6296,0.5276
2021-W17,2021-04-26,26/04/21,Age<60,5795338.0,103784,25546,439955,217258,0.0759,0.0375
2021-W17,2021-04-26,26/04/21,HCW,274955.0,3159,6555,177590,149971,0.6459,0.5454
2021-W17,2021-04-26,26/04/21,LTCF,28913.0,49,254,22343,21167,0.7728,0.7321
2021-W18,2021-05-03,03/05/21,ALL,8864187.0,281517,252860,2447619,1195885,0.2761,0.1349
2021-W18,2021-05-03,03/05/21,Age18_24,782452.0,798,1311,10546,7031,0.0135,0.009
2021-W18,2021-05-03,03/05/21,Age25_49,3497414.0,116947,19546,372699,153826,0.1066,0.044
2021-W18,2021-05-03,03/05/21,Age50_59,1515472.0,121776,20995,296231,98253,0.1955,0.0648
2021-W18,2021-05-03,03/05/21,Age60+,3068849.0,41769,211007,1762951,936697,0.5745,0.3052
2021-W18,2021-05-03,03/05/21,Age60_69,1291651.0,27864,56878,620419,98971,0.4803,0.0766
2021-W18,2021-05-03,03/05/21,Age70_79,1003958.0,10024,128028,651827,403655,0.6493,0.4021
2021-W18,2021-05-03,03/05/21,Age80+,773240.0,3881,26101,490705,434071,0.6346,0.5614
2021-W18,2021-05-03,03/05/21,Age<60,5795338.0,239521,41852,679476,259110,0.1172,0.0447
2021-W18,2021-05-03,03/05/21,HCW,274955.0,3926,11371,181516,161342,0.6602,0.5868
2021-W18,2021-05-03,03/05/21,LTCF,28913.0,163,307,22506,21474,0.7784,0.7427
2021-W19,2021-05-10,10/05/21,ALL,8864187.0,323200,322182,2770819,1518067,0.3126,0.1713
2021-W19,2021-05-10,10/05/21,Age18_24,782452.0,1164,1383,11710,8414,0.015,0.0108
2021-W19,2021-05-10,10/05/21,Age25_49,3497414.0,108132,18080,480831,171906,0.1375,0.0492
2021-W19,2021-05-10,10/05/21,Age50_59,1515472.0,164354,16638,460585,114891,0.3039,0.0758
2021-W19,2021-05-10,10/05/21,Age60+,3068849.0,47863,286030,1810814,1222727,0.5901,0.3984
2021-W19,2021-05-10,10/05/21,Age60_69,1291651.0,30738,133428,651157,232399,0.5041,0.1799
2021-W19,2021-05-10,10/05/21,Age70_79,1003958.0,12341,129014,664168,532669,0.6615,0.5306
2021-W19,2021-05-10,10/05/21,Age80+,773240.0,4784,23588,495489,457659,0.6408,0.5919
2021-W19,2021-05-10,10/05/21,Age<60,5795338.0,273650,36101,953126,295211,0.1645,0.0509
2021-W19,2021-05-10,10/05/21,HCW,274955.0,4053,8097,185569,169439,0.6749,0.6162
2021-W19,2021-05-10,10/05/21,LTCF,28913.0,238,72,22744,21546,0.7866,0.7452
2021-W20,2021-05-17,17/05/21,ALL,8864187.0,425152,192264,3195971,1710331,0.3605,0.1929
2021-W20,2021-05-17,17/05/21,Age18_24,782452.0,1584,1014,13294,9428,0.017,0.012
2021-W20,2021-05-17,17/05/21,Age25_49,3497414.0,135895,13873,616726,185779,0.1763,0.0531
2021-W20,2021-05-17,17/05/21,Age50_59,1515472.0,145570,16380,606155,131271,0.4,0.0866
2021-W20,2021-05-17,17/05/21,Age60+,3068849.0,138321,160596,1949135,1383323,0.6351,0.4508
2021-W20,2021-05-17,17/05/21,Age60_69,1291651.0,90469,109956,741626,342355,0.5742,0.2651
2021-W20,2021-05-17,17/05/21,Age70_79,1003958.0,39111,42854,703279,575523,0.7005,0.5733
2021-W20,2021-05-17,17/05/21,Age80+,773240.0,8741,7786,504230,465445,0.6521,0.6019
2021-W20,2021-05-17,17/05/21,Age<60,5795338.0,283049,31267,1236175,326478,0.2133,0.0563
2021-W20,2021-05-17,17/05/21,HCW,274955.0,5281,4630,190850,174069,0.6941,0.6331
2021-W20,2021-05-17,17/05/21,LTCF,28913.0,6,100,22750,21646,0.7868,0.7487
2021-W21,2021-05-24,24/05/21,ALL,8864187.0,388352,197396,3584323,1907727,0.4044,0.2152
2021-W21,2021-05-24,24/05/21,Age18_24,782452.0,3269,825,16563,10253,0.0212,0.0131
2021-W21,2021-05-24,24/05/21,Age25_49,3497414.0,126672,22339,743398,208118,0.2126,0.0595
2021-W21,2021-05-24,24/05/21,Age50_59,1515472.0,109275,66834,715430,198105,0.4721,0.1307
2021-W21,2021-05-24,24/05/21,Age60+,3068849.0,133412,99345,2082547,1482668,0.6786,0.4831
2021-W21,2021-05-24,24/05/21,Age60_69,1291651.0,91455,84503,833081,426858,0.645,0.3305
2021-W21,2021-05-24,24/05/21,Age70_79,1003958.0,32257,11827,735536,587350,0.7326,0.585
2021-W21,2021-05-24,24/05/21,Age80+,773240.0,9700,3015,513930,468460,0.6646,0.6058
2021-W21,2021-05-24,24/05/21,Age<60,5795338.0,239216,89998,1475391,416476,0.2546,0.0719
2021-W21,2021-05-24,24/05/21,HCW,274955.0,4324,3021,195174,177090,0.7098,0.6441
2021-W21,2021-05-24,24/05/21,LTCF,28913.0,0,160,22750,21806,0.7868,0.7542
