new_cases_0_17,new_cases_18_39,new_cases_40_64,new_cases_65,new_deaths_0_17,new_deaths_18_39,new_deaths_40_64,new_deaths_65,date,icu_0_17,icu_18_39,icu_40_64,icu_65,DisplayDate,new_cases_0_64,new_cases_0_64_7day,new_cases_65_7day,max_new_cases_0_64,max_new_cases_65,new_cases_%_of_max_0_64,new_cases_%_of_max_65,icu_0_64,icu_0_64_7day,icu_65_7day,max_icu_0_64,max_icu_65,icu_%_of_max_0_64,icu_%_of_max_65,new_deaths_0_64,new_deaths_0_64_7day,new_deaths_65_7day,max_new_deaths_0_64,max_new_deaths_65,new_deaths_%_of_max_0_64,new_deaths_%_of_max_65,new_cases_65_7day_share,new_cases_0_64_7day_share
143.0,439.0,630.0,209.0,0.0,0.0,3.0,20.0,2021-02-20,0,3,101,221,20/02/21,1212.0,891.8571428571429,172.85714285714286,6029.285714285715,786.0,0.14792086245705485,0.21992002908033442,104,98.71428571428571,214.42857142857142,315.7142857142857,521.7142857142857,0.31266968325791855,0.41100766703176345,3.0,4.142857142857143,20.0,16.857142857142858,68.28571428571429,0.2457627118644068,0.2928870292887029,0.1623507312491614,0.8376492687508386
77.0,288.0,344.0,176.0,0.0,0.0,0.0,25.0,2021-02-21,1,3,109,213,21/02/21,709.0,914.4285714285714,182.28571428571428,6029.285714285715,786.0,0.15166449472811278,0.23191566703017083,113,101.42857142857143,215.28571428571428,315.7142857142857,521.7142857142857,0.3212669683257919,0.4126506024096386,0.0,3.4285714285714284,21.0,16.857142857142858,68.28571428571429,0.20338983050847456,0.3075313807531381,0.16621075941122831,0.8337892405887716
56.0,303.0,374.0,137.0,0.0,0.0,3.0,21.0,2021-02-22,1,4,125,216,22/02/21,733.0,940.2857142857143,182.57142857142858,6029.285714285715,786.0,0.1559530861272361,0.23227917121046893,130,106.71428571428571,216.71428571428572,315.7142857142857,521.7142857142857,0.3380090497737556,0.4153888280394305,3.0,3.4285714285714284,20.714285714285715,16.857142857142858,68.28571428571429,0.20338983050847456,0.303347280334728,0.16259541984732825,0.8374045801526718
141.0,646.0,967.0,355.0,0.0,0.0,3.0,19.0,2021-02-23,1,4,124,228,23/02/21,1754.0,1056.0,211.28571428571428,6029.285714285715,786.0,0.17514512498519133,0.2688113413304253,129,111.57142857142857,218.71428571428572,315.7142857142857,521.7142857142857,0.353393665158371,0.41922234392113916,3.0,3.142857142857143,20.0,16.857142857142858,68.28571428571429,0.1864406779661017,0.2928870292887029,0.16672303009807238,0.8332769699019277
185.0,608.0,804.0,304.0,0.0,0.0,3.0,25.0,2021-02-24,1,5,125,226,24/02/21,1597.0,1192.2857142857142,239.0,6029.285714285715,786.0,0.19774908186233855,0.30407124681933845,131,116.42857142857143,220.14285714285714,315.7142857142857,521.7142857142857,0.36877828054298645,0.42196056955093103,3.0,3.2857142857142856,22.0,16.857142857142858,68.28571428571429,0.19491525423728812,0.3221757322175732,0.16698273280766546,0.8330172671923346
184.0,578.0,760.0,256.0,0.0,0.0,6.0,33.0,2021-02-25,1,5,129,232,25/02/21,1522.0,1246.857142857143,238.28571428571428,6029.285714285715,786.0,0.2068001421632508,0.3031624863685932,135,121.0,222.28571428571428,315.7142857142857,521.7142857142857,0.38325791855203617,0.4260679079956189,6.0,3.2857142857142856,23.714285714285715,16.857142857142858,68.28571428571429,0.19491525423728812,0.34728033472803344,0.16044632550981147,0.8395536744901886
158.0,533.0,768.0,264.0,0.0,0.0,2.0,27.0,2021-02-26,1,7,129,234,26/02/21,1459.0,1283.7142857142858,243.0,6029.285714285715,786.0,0.21291316194763654,0.30916030534351147,137,125.57142857142857,224.28571428571428,315.7142857142857,521.7142857142857,0.39773755656108595,0.4299014238773275,2.0,2.857142857142857,24.285714285714285,16.857142857142858,68.28571428571429,0.1694915254237288,0.3556485355648535,0.15916534106858798,0.840834658931412
142.0,494.0,743.0,246.0,0.0,0.0,2.0,27.0,2021-02-27,1,9,133,236,27/02/21,1379.0,1307.5714285714287,248.28571428571428,6029.285714285715,786.0,0.21687003909489397,0.3158851326790258,143,131.14285714285714,226.42857142857142,315.7142857142857,521.7142857142857,0.41538461538461535,0.43400876232201535,2.0,2.7142857142857144,25.285714285714285,16.857142857142858,68.28571428571429,0.1610169491525424,0.37029288702928864,0.15958130566522816,0.8404186943347719
139.0,383.0,530.0,217.0,0.0,0.0,5.0,31.0,2021-02-28,1,9,138,243,28/02/21,1052.0,1356.5714285714287,254.14285714285714,6029.285714285715,786.0,0.22499703826560835,0.3233369683751363,148,136.14285714285714,230.71428571428572,315.7142857142857,521.7142857142857,0.43122171945701354,0.44222343921139107,5.0,3.4285714285714284,26.142857142857142,16.857142857142858,68.28571428571429,0.20338983050847456,0.3828451882845188,0.15778270509977826,0.8422172949002218
89.0,362.0,504.0,210.0,0.0,0.0,3.0,27.0,2021-03-01,1,10,136,259,01/03/21,955.0,1388.2857142857142,264.57142857142856,6029.285714285715,786.0,0.23025707854519603,0.336604870956016,147,138.57142857142858,236.85714285714286,315.7142857142857,521.7142857142857,0.4389140271493213,0.4539978094194962,3.0,3.4285714285714284,27.0,16.857142857142858,68.28571428571429,0.20338983050847456,0.3953974895397489,0.16006914433880726,0.8399308556611929
